time,temperature_2m (°C),relativehumidity_2m (%),apparent_temperature (°C),surface_pressure (hPa),precipitation (mm),cloudcover (%),direct_radiation (W/m²)
2016-01-01T00:00,21.5,75,26.4,966.9,0,13,0
2016-01-01T01:00,21.1,76,24.6,966.2,0,25,0
2016-01-01T02:00,20.1,81,23.2,965.6,0,16,0
2016-01-01T03:00,19.9,81,23,965.3,0,30,0
2016-01-01T04:00,19.9,81,22.4,965.4,0,35,0
2016-01-01T05:00,20.1,78,24,965.7,0,37,0
2016-01-01T06:00,20,79,24.3,966.2,0,45,0
2016-01-01T07:00,20.6,80,24.3,967.1,0,39,23
2016-01-01T08:00,25.2,60,26.7,968.2,0,30,100
2016-01-01T09:00,27.6,48,29.8,969,0,38,293
2016-01-01T10:00,28.8,45,31.2,969.3,0,34,452
2016-01-01T11:00,29.7,42,32.3,968.8,0,26,500
2016-01-01T12:00,30.1,42,33.9,967.8,0,22,614
2016-01-01T13:00,30.5,41,34.3,966.7,0,19,598
2016-01-01T14:00,30.2,44,34,965.2,0,21,614
2016-01-01T15:00,29.8,45,33.2,964.2,0,19,452
2016-01-01T16:00,28.9,48,33.5,963.7,0,23,208
2016-01-01T17:00,28.2,50,31.2,963.7,0,22,137
2016-01-01T18:00,26.9,57,30.4,964.6,0,15,19
2016-01-01T19:00,25.5,63,29.6,965.1,0,15,0
2016-01-01T20:00,25.1,65,29.6,965.9,0,14,0
2016-01-01T21:00,24.5,69,29,967.1,0,15,0
2016-01-01T22:00,24.7,67,27.3,967.4,0,17,0
2016-01-01T23:00,24.2,67,27.6,967.2,0,25,0
2016-01-02T00:00,25.1,60,27,967.1,0,23,0
2016-01-02T01:00,24.8,62,26.3,966.2,0,23,0
2016-01-02T02:00,24.2,63,25.8,966.1,0,32,0
2016-01-02T03:00,24,64,24.8,965.9,0,26,0
2016-01-02T04:00,23.9,65,23.9,965.8,0,24,0
2016-01-02T05:00,23.6,66,25.9,966.5,0,30,0
2016-01-02T06:00,21.4,77,24,966.4,0,35,0
2016-01-02T07:00,21.8,78,25,967.6,0,44,25
2016-01-02T08:00,24.9,67,26.8,969,0,56,97
2016-01-02T09:00,26.9,52,29.5,969.8,0,59,156
2016-01-02T10:00,27.7,49,29.6,969.7,0,48,171
2016-01-02T11:00,28.2,48,29.6,969.4,0,44,260
2016-01-02T12:00,28.8,46,32.1,968.6,0,33,377
2016-01-02T13:00,29.3,44,32.7,967.5,0,30,481
2016-01-02T14:00,28.8,46,32.4,966,0,42,307
2016-01-02T15:00,28.4,47,31.9,965.3,0,44,153
2016-01-02T16:00,27.9,49,31.5,964.6,0,44,100
2016-01-02T17:00,27.4,51,30.5,965.3,0,44,71
2016-01-02T18:00,26.1,58,28.7,965.5,0,36,13
2016-01-02T19:00,25.1,59,28.3,965.8,0,32,0
2016-01-02T20:00,24.2,66,28.3,966.2,0,23,0
2016-01-02T21:00,23.6,65,26.9,966.8,0,13,0
2016-01-02T22:00,22.7,67,25.1,966.9,0,13,0
2016-01-02T23:00,21.8,71,23.9,966.7,0,11,0
2016-01-03T00:00,21.2,74,23.2,966.5,0,9,0
2016-01-03T01:00,20.6,77,23.1,965.9,0,9,0
2016-01-03T02:00,24.1,59,23.1,965.4,0,10,0
2016-01-03T03:00,24.2,58,22.3,964.9,0,19,0
2016-01-03T04:00,23.8,60,21.6,964.8,0,19,0
2016-01-03T05:00,23,64,22.7,965.6,0,15,0
2016-01-03T06:00,22.4,66,22.9,966.1,0,18,0
2016-01-03T07:00,22.6,68,24.8,967.3,0,17,31
2016-01-03T08:00,25.2,62,26.2,968.4,0,11,143
2016-01-03T09:00,27.3,50,30.3,968.9,0,12,305
2016-01-03T10:00,28.6,45,31,968.9,0,10,438
2016-01-03T11:00,29.5,43,32.4,968.5,0,11,557
2016-01-03T12:00,30.1,41,34,967.7,0,11,575
2016-01-03T13:00,29.9,42,33.3,966.4,0,25,382
2016-01-03T14:00,30,43,34.8,965.1,0,20,589
2016-01-03T15:00,29.7,45,34.2,964.1,0,41,468
2016-01-03T16:00,29.1,46,33.3,964,0,40,220
2016-01-03T17:00,28.2,50,32.6,964.3,0,35,86
2016-01-03T18:00,27,55,31,964.9,0,48,19
2016-01-03T19:00,25.7,62,30.2,965.9,0,44,0
2016-01-03T20:00,25.1,65,30.4,966.9,0,46,0
2016-01-03T21:00,25.3,65,30.4,967.6,0,47,0
2016-01-03T22:00,24.5,68,27.7,967.4,0,36,0
2016-01-03T23:00,23.7,70,26.5,966.9,0,33,0
2016-01-04T00:00,23.3,72,26.1,966.4,0,35,0
2016-01-04T01:00,23.7,69,26.6,965.8,0,32,0
2016-01-04T02:00,24.8,62,27.5,965.7,0,24,0
2016-01-04T03:00,24.4,65,27.3,965.5,0,29,0
2016-01-04T04:00,23.8,68,26.1,965.7,0,30,0
2016-01-04T05:00,23.3,71,26.3,965.4,0,29,0
2016-01-04T06:00,22.4,75,25.7,966.3,0,22,0
2016-01-04T07:00,23.3,72,27.3,967.4,0,20,31
2016-01-04T08:00,25.8,62,28.8,968.4,0,15,166
2016-01-04T09:00,27.4,54,32.3,969.2,0,16,355
2016-01-04T10:00,29.1,48,33.9,969,0,15,539
2016-01-04T11:00,29.7,46,34.4,968.5,0,12,619
2016-01-04T12:00,30.8,43,35.7,967.2,0,15,740
2016-01-04T13:00,30.9,43,35.8,966,0,26,606
2016-01-04T14:00,30.7,45,35.6,964.6,0,28,490
2016-01-04T15:00,30.1,47,34.4,964,0,49,397
2016-01-04T16:00,29.6,49,33.7,963.9,0,41,261
2016-01-04T17:00,28.7,52,31.9,964.4,0,41,98
2016-01-04T18:00,27.4,57,31,964.8,0,49,7
2016-01-04T19:00,26,71,30.1,965.5,0,48,0
2016-01-04T20:00,26.9,58,31.2,966.7,0,50,0
2016-01-04T21:00,25.9,66,29.8,967,0,38,0
2016-01-04T22:00,24.4,71,28.7,967,0,41,0
2016-01-04T23:00,23.8,74,28.6,966.8,0,38,0
2016-01-05T00:00,23.3,76,27.5,966.8,0,40,0
2016-01-05T01:00,23.4,76,27.1,966.3,0,32,0
2016-01-05T02:00,25.2,63,27.4,965.7,0,22,0
2016-01-05T03:00,24.9,64,27.9,965.7,0,18,0
2016-01-05T04:00,24.1,68,27.3,965.8,0,16,0
2016-01-05T05:00,23.7,69,26.7,966.1,0,13,0
2016-01-05T06:00,21.6,78,25.4,966.4,0,13,0
2016-01-05T07:00,21.3,82,26.4,967.6,0,10,36
2016-01-05T08:00,25.8,64,28.4,968.8,0,23,182
2016-01-05T09:00,27.9,56,32.1,969.7,0,27,389
2016-01-05T10:00,28.9,53,32.9,969.5,0,23,502
2016-01-05T11:00,29.3,52,33.3,968.9,0,51,465
2016-01-05T12:00,30.3,49,36.9,968.7,0,100,690
2016-01-05T13:00,30.6,48,36.2,967.3,0,60,537
2016-01-05T14:00,29.3,53,35.7,965.6,0.3,66,457
2016-01-05T15:00,29.3,51,35.2,964.8,0,56,318
2016-01-05T16:00,29.1,52,34.7,964.3,0,77,254
2016-01-05T17:00,28.2,54,32.8,963.9,0,31,94
2016-01-05T18:00,27.2,60,32.7,964.4,0,31,22
2016-01-05T19:00,26,70,32.2,965.2,0,29,0
2016-01-05T20:00,26.3,64,32.1,966.4,0,29,0
2016-01-05T21:00,26.7,59,32.1,967.4,0,48,0
2016-01-05T22:00,24.5,71,31.1,968.4,0,69,0
2016-01-05T23:00,23.7,75,30.3,968.4,0,71,0
2016-01-06T00:00,23.2,78,27.8,967.7,0,88,0
2016-01-06T01:00,22.7,80,27.1,966.8,0,81,0
2016-01-06T02:00,23,78,27.3,966.5,0,74,0
2016-01-06T03:00,23,79,26.7,966.2,0,71,0
2016-01-06T04:00,22.9,79,26.2,966.4,0,68,0
2016-01-06T05:00,22.3,81,26.6,966.6,0,52,0
2016-01-06T06:00,21.9,83,26.6,966.7,0,35,0
2016-01-06T07:00,22.5,84,27.3,968.1,0,34,26
2016-01-06T08:00,25.3,71,29.2,969.2,0,42,132
2016-01-06T09:00,27,60,31.1,970.3,0,40,247
2016-01-06T10:00,29,51,32.4,970.4,0,44,468
2016-01-06T11:00,29.6,49,32.2,969.6,0,47,440
2016-01-06T12:00,30,47,34.4,969.2,0,42,562
2016-01-06T13:00,30.3,46,34.6,967.6,0,48,533
2016-01-06T14:00,28.1,56,33.6,966.2,0,34,234
2016-01-06T15:00,29.2,52,33.6,965.3,0,32,375
2016-01-06T16:00,28.8,53,33.5,965.1,0,43,235
2016-01-06T17:00,28.3,55,33.6,965.4,0,23,157
2016-01-06T18:00,27.3,58,31.9,965.1,0,42,23
2016-01-06T19:00,25.9,65,30.4,966.1,0,42,0
2016-01-06T20:00,25.4,69,30.9,967.2,0,74,0
2016-01-06T21:00,24.5,73,30.5,968.4,0,84,0
2016-01-06T22:00,23.8,75,31,968.9,0,94,0
2016-01-06T23:00,23.3,78,30.6,968.6,0,95,0
2016-01-07T00:00,23,79,28.1,967.9,0,100,0
2016-01-07T01:00,21.7,88,27,967.3,0,76,0
2016-01-07T02:00,21.7,90,26.6,966.2,0,73,0
2016-01-07T03:00,21.1,91,25.4,965.5,0,65,0
2016-01-07T04:00,21,91,24.9,965.5,0,71,0
2016-01-07T05:00,20.9,91,26.7,965.4,0,68,0
2016-01-07T06:00,20.7,91,26.9,966.3,0,67,0
2016-01-07T07:00,21.5,93,28,967.9,0,100,27
2016-01-07T08:00,24.2,84,29.1,969.3,0,100,69
2016-01-07T09:00,25.4,77,30.5,970.2,0,100,177
2016-01-07T10:00,26.5,66,32.6,970.1,0,100,338
2016-01-07T11:00,27.7,60,33.4,969.5,0,90,455
2016-01-07T12:00,28.8,55,34.7,968.4,0,77,420
2016-01-07T13:00,29,54,34.3,967,0,74,369
2016-01-07T14:00,28.7,56,33.9,965.6,0,90,262
2016-01-07T15:00,28.5,56,34.1,964.7,0,93,195
2016-01-07T16:00,27.9,58,34.2,964.2,0,58,160
2016-01-07T17:00,27.2,61,33.7,964.1,0,51,53
2016-01-07T18:00,26.2,67,32.8,964.4,0,57,14
2016-01-07T19:00,26.1,66,32,965,0,66,0
2016-01-07T20:00,25.5,70,31.2,965.5,0,55,0
2016-01-07T21:00,24.4,76,30.4,966.1,0,52,0
2016-01-07T22:00,23.9,78,29.7,966.3,0,53,0
2016-01-07T23:00,23.5,80,29.6,966.7,0,57,0
2016-01-08T00:00,22.9,82,29,966.3,0.1,68,0
2016-01-08T01:00,22.6,82,28.6,965.8,0,70,0
2016-01-08T02:00,24.7,71,28.3,964.9,0,71,0
2016-01-08T03:00,24.5,73,27.7,964.7,0,53,0
2016-01-08T04:00,24.3,74,27.3,964.6,0,69,0
2016-01-08T05:00,24.2,75,28,964.1,0,68,0
2016-01-08T06:00,23.9,76,27.8,964.7,0,76,0
2016-01-08T07:00,23.9,78,27.9,965.9,0,58,20
2016-01-08T08:00,24.7,84,29.2,967.1,0,91,93
2016-01-08T09:00,26.2,72,32.3,968.1,0,96,183
2016-01-08T10:00,28.5,58,33.1,968.5,0,96,436
2016-01-08T11:00,29,54,33,967.8,0,86,418
2016-01-08T12:00,29.4,52,34.2,967.1,0,77,440
2016-01-08T13:00,30,49,34.7,965.7,0,53,507
2016-01-08T14:00,29.7,50,34.6,964.1,0,36,514
2016-01-08T15:00,29.5,50,33.5,963.5,0,56,308
2016-01-08T16:00,28.9,52,33.2,963,0,76,107
2016-01-08T17:00,28.1,54,32.4,963.5,0,65,19
2016-01-08T18:00,26.8,62,32.3,963.7,0,63,4
2016-01-08T19:00,26,67,31.2,964.4,0,69,0
2016-01-08T20:00,26,64,31.2,965,0,100,0
2016-01-08T21:00,25.6,67,30.4,965.4,0,100,0
2016-01-08T22:00,25.2,69,29.2,965.5,0,100,0
2016-01-08T23:00,24.8,72,29.4,965.3,0,90,0
2016-01-09T00:00,24.7,72,29.1,964.9,0,59,0
2016-01-09T01:00,24.7,71,28.5,964.5,0,41,0
2016-01-09T02:00,25.3,67,27.8,964,0,49,0
2016-01-09T03:00,25,68,25.8,963.6,0,64,0
2016-01-09T04:00,24.6,71,24.8,963.6,0,66,0
2016-01-09T05:00,24.7,70,26.8,963.7,0,70,0
2016-01-09T06:00,24.3,72,26.9,963.8,0,60,0
2016-01-09T07:00,24.1,75,26.9,965.5,0,60,19
2016-01-09T08:00,25,77,27.7,966.4,0.1,57,95
2016-01-09T09:00,26.3,73,31.6,967.6,0.2,47,266
2016-01-09T10:00,27.7,62,31.7,967.8,0,38,301
2016-01-09T11:00,27.8,62,31.6,967,0.2,42,292
2016-01-09T12:00,28.5,55,33.6,966.3,0,35,431
2016-01-09T13:00,28.8,54,33,965.1,0,20,370
2016-01-09T14:00,29.9,47,33.9,963.8,0,30,431
2016-01-09T15:00,29.4,49,33.3,962.8,0,38,221
2016-01-09T16:00,28.8,50,33.4,962.5,0,47,112
2016-01-09T17:00,28,54,32.9,962.9,0,54,82
2016-01-09T18:00,26.8,60,32.2,963.3,0,54,20
2016-01-09T19:00,25.7,67,30.9,963.9,0,39,0
2016-01-09T20:00,25.4,66,30.1,963.7,0,45,0
2016-01-09T21:00,24.8,70,29.5,964.9,0,61,0
2016-01-09T22:00,24.3,72,28.7,965.2,0,59,0
2016-01-09T23:00,23.8,76,27.7,965.5,0.1,55,0
2016-01-10T00:00,23.4,78,27.3,965.1,0.1,77,0
2016-01-10T01:00,23.4,79,26.9,964.6,0,70,0
2016-01-10T02:00,24.5,71,26.3,964.1,0,69,0
2016-01-10T03:00,23.8,74,23.9,963.3,0,69,0
2016-01-10T04:00,22.9,79,22.5,963.2,0,67,0
2016-01-10T05:00,22.6,81,25.6,963.4,0,40,0
2016-01-10T06:00,21.4,89,25.7,963.5,0.1,31,0
2016-01-10T07:00,21.9,90,25.6,964.9,0,29,23
2016-01-10T08:00,25,80,27.8,966.1,0,23,101
2016-01-10T09:00,26.4,67,31.3,967.5,0,29,176
2016-01-10T10:00,27.7,59,32.1,967.9,0,24,358
2016-01-10T11:00,29.3,51,33.4,967.7,0,17,510
2016-01-10T12:00,29.1,51,33.4,966.5,0,21,379
2016-01-10T13:00,29.8,49,34.4,965.6,0,25,553
2016-01-10T14:00,29.8,49,34.5,964,0,38,463
2016-01-10T15:00,30,47,33.5,963.4,0,39,363
2016-01-10T16:00,29.5,49,33.4,963,0,43,199
2016-01-10T17:00,28.6,52,32.7,963.2,0,44,75
2016-01-10T18:00,27.2,57,31.2,963.3,0,38,20
2016-01-10T19:00,25.9,64,29.9,964.3,0,44,0
2016-01-10T20:00,25.7,64,29.8,964.7,0,45,0
2016-01-10T21:00,24.6,70,29.2,965.8,0,51,0
2016-01-10T22:00,23.9,72,27.7,966.1,0,59,0
2016-01-10T23:00,23.2,76,26.4,966.2,0,58,0
2016-01-11T00:00,23,77,25,965.6,0,60,0
2016-01-11T01:00,22.9,78,24.6,965,0,62,0
2016-01-11T02:00,23,77,23.8,964.3,0,62,0
2016-01-11T03:00,22.4,80,22.2,963.9,0,55,0
2016-01-11T04:00,22.3,81,22,964.1,0,72,0
2016-01-11T05:00,22.3,82,24.9,964.6,0.1,68,0
2016-01-11T06:00,22.4,82,24.7,965.2,0,67,0
2016-01-11T07:00,23.1,82,25.5,966.1,0,56,21
2016-01-11T08:00,24.9,79,27.2,967.1,0,63,105
2016-01-11T09:00,25.4,80,31.3,968.5,0,53,211
2016-01-11T10:00,27.3,63,31.2,968.5,0,63,318
2016-01-11T11:00,28.5,53,31.2,968,0,47,380
2016-01-11T12:00,28.7,52,32.7,967.3,0,50,414
2016-01-11T13:00,29.8,48,33.9,966.2,0,45,539
2016-01-11T14:00,30.4,43,34.2,964.8,0,66,569
2016-01-11T15:00,30,44,32.1,963.4,0,80,251
2016-01-11T16:00,29.5,46,31,962.8,0,84,119
2016-01-11T17:00,28.9,48,32.9,964.2,0,83,65
2016-01-11T18:00,27.1,61,31.5,964.7,0,72,2
2016-01-11T19:00,26.9,56,31.1,965.8,0,72,0
2016-01-11T20:00,25.8,62,30.3,966.4,0,63,0
2016-01-11T21:00,25,66,29.7,966.6,0,60,0
2016-01-11T22:00,24.4,68,28.2,967.2,0,65,0
2016-01-11T23:00,24.2,70,27.9,967.1,0,66,0
2016-01-12T00:00,24,70,27.4,966.9,0,68,0
2016-01-12T01:00,23.9,70,26.9,966.1,0,71,0
2016-01-12T02:00,24.1,71,27.2,965.5,0,76,0
2016-01-12T03:00,23.3,75,25.9,965.2,0,84,0
2016-01-12T04:00,23.1,77,25.1,965.3,0.1,81,0
2016-01-12T05:00,23,78,26.7,965,0,96,0
2016-01-12T06:00,22.8,79,26.3,965.9,0,85,0
2016-01-12T07:00,23.1,82,27.2,966.6,0,98,10
2016-01-12T08:00,25.3,77,28.7,967.9,0,83,115
2016-01-12T09:00,26.4,71,32.2,968.9,0,75,228
2016-01-12T10:00,27.6,56,32,969,0,72,401
2016-01-12T11:00,28.9,48,33,968.1,0,54,497
2016-01-12T12:00,29.7,45,34.4,967.1,0,47,542
2016-01-12T13:00,30.5,43,35.4,965.7,0,39,602
2016-01-12T14:00,30.4,45,34.4,964.5,0,43,405
2016-01-12T15:00,30.5,45,34.4,963.7,0,51,392
2016-01-12T16:00,29.9,46,33.9,963.3,0,56,201
2016-01-12T17:00,29,51,33.1,963.5,0,52,70
2016-01-12T18:00,27.6,56,31.9,963.6,0,44,18
2016-01-12T19:00,26.4,60,30.3,964.1,0,42,0
